"387,5279,7\n"
"387,19285,9\n"
"387,48583,9\n"
"387,40586,7\n"
"387,21195,8\n"
"387,50602,8\n"
"387,33286,8\n"
"387,37449,8\n"
"387,30321,8\n"
"387,37831,8\n"
"387,37278,8\n"
"387,31765,8\n"
"387,36439,8\n"
"387,39239,8\n"
"387,41341,8\n"
"387,20021,8\n"
"387,4107,9\n"
"387,31711,8\n"
"387,4654,8\n"
"387,39470,7\n"
"387,48471,8\n"
"387,28025,9\n"
"387,39324,7\n"
"387,41226,8\n"
"387,22117,7\n"
"387,10521,8\n"
"387,44069,7\n"
"387,35220,8\n"
"387,51096,8\n"
"387,18677,7\n"
"387,31245,7\n"
"388,40960,5\n"
"388,43814,7\n"
"388,42571,5\n"
"388,29095,8\n"
"388,10408,9\n"
"388,46569,9\n"
"388,38778,8\n"
"388,41899,6\n"
"388,30296,9\n"
"388,22319,7\n"
"391,10218,8\n"
"391,33929,8\n"
"391,33028,9\n"
"391,32801,8\n"
"391,34321,8\n"
"391,356,8\n"
"391,5114,10\n"
"391,777,9\n"
"391,5630,10\n"
"391,137,9\n"
"391,34933,8\n"
"391,2593,10\n"
"391,6954,8\n"
"391,9260,9\n"
"391,31758,8\n"
"391,48926,9\n"
"391,34712,8\n"
"391,38959,8\n"
"391,14575,8\n"
"391,32182,8\n"
"391,2144,7\n"
"391,6325,8\n"
"391,31704,8\n"
"391,32485,8\n"
"391,23281,9\n"
"391,21561,8\n"
"391,23277,9\n"
"391,29317,8\n"
"391,13759,9\n"
"391,16694,8\n"
"391,6974,8\n"
"391,21843,10\n"
"391,48583,10\n"
"391,31,8\n"
"391,40540,9\n"
"391,42916,9\n"
"391,40356,8\n"
"391,19117,9\n"
"391,22319,9\n"
"391,34498,8\n"
"391,39547,8\n"
"391,20545,8\n"
"392,37956,7\n"
"392,13859,0\n"
"392,28981,2\n"
"392,24531,6\n"
"392,7817,6\n"
"392,5081,6\n"
"392,6948,0\n"
"392,22789,6\n"
"392,10719,5\n"
"392,38186,5\n"
